target          | cbow_exp_soft0  <-> cbow_exp_lstm0 
perioden        | 1               <-> 0              
willen          | 1               <-> 0              
opereert        | 2               <-> 0              
moderne         | 1               <-> 0              
ongeluk         | 1               <-> 0              
terug           | 1               <-> 0              
definitie       | 2               <-> 0              
vorm            | 1               <-> 0              
bedacht         | 1               <-> 0              
citeren         | 1               <-> 0              
nemen           | 2               <-> 1              
ondergrond      | 1               <-> 0              
aandacht        | 1               <-> 0              
na              | 7               <-> 0              
middenmoot      | 1               <-> 0              
muren           | 1               <-> 0              
Andrews         | 1               <-> 0              
karretje        | 1               <-> 0              
schuwt          | 1               <-> 0              
nu              | 3               <-> 0              
Groot-Brittannië | 1               <-> 0              
maxima          | 2               <-> 0              
handicap        | 2               <-> 0              
Country         | 1               <-> 0              
diep            | 1               <-> 0              
omgedoopt       | 1               <-> 0              
zegen           | 1               <-> 0              
podium          | 1               <-> 0              
zich            | 6               <-> 3              
nadrukkelijker  | 1               <-> 0              
verwittigen     | 1               <-> 0              
optimisme       | 1               <-> 0              
einde           | 1               <-> 0              
drie-en         | 2               <-> 0              
daarmee         | 1               <-> 0              
vuur            | 1               <-> 0              
doormidden      | 1               <-> 0              
confronteren    | 1               <-> 0              
tevergeefs      | 1               <-> 0              
groot           | 1               <-> 0              
tachtig         | 1               <-> 0              
Jimenez         | 1               <-> 0              
slaan           | 2               <-> 1              
mensen          | 2               <-> 2              
spel            | 1               <-> 1              
te              | 24              <-> 24             
omdat           | 3               <-> 3              
zo              | 3               <-> 3              
altijd          | 2               <-> 2              
kunnen          | 3               <-> 3              
Ford            | 1               <-> 1              
gelegd          | 1               <-> 1              
iemand          | 1               <-> 1              
plaatsen        | 1               <-> 1              
men             | 3               <-> 3              
techno          | 2               <-> 2              
huis            | 2               <-> 2              
houdt           | 1               <-> 1              
gaan            | 1               <-> 1              
snelle          | 1               <-> 1              
aantal          | 1               <-> 1              
heel            | 1               <-> 1              
Martin          | 1               <-> 1              
Schotten        | 1               <-> 1              
wint            | 1               <-> 1              
vier-en         | 1               <-> 1              
over            | 2               <-> 2              
eist            | 1               <-> 1              
No              | 1               <-> 1              
wolkenvelden    | 1               <-> 1              
disco           | 1               <-> 1              
vier            | 3               <-> 3              
veertig         | 1               <-> 1              
achtste         | 2               <-> 2              
zelf            | 1               <-> 1              
wimpel          | 1               <-> 1              
ons             | 1               <-> 1              
tot             | 8               <-> 8              
verteld         | 1               <-> 1              
dragen          | 1               <-> 1              
werken          | 1               <-> 1              
uitgerekend     | 1               <-> 1              
sloeg           | 1               <-> 1              
kans            | 1               <-> 1              
jaar            | 5               <-> 5              
opgegeven       | 1               <-> 1              
Gent            | 1               <-> 1              
lijkt           | 1               <-> 1              
laten           | 1               <-> 1              
ten             | 2               <-> 2              
weliswaar       | 1               <-> 1              
reporters       | 1               <-> 1              
baas            | 1               <-> 1              
had             | 8               <-> 8              
gaf             | 1               <-> 1              
funk            | 1               <-> 1              
land            | 1               <-> 1              
zwakke          | 1               <-> 1              
buiten          | 1               <-> 1              
pas             | 1               <-> 1              
hogedrukgebied  | 1               <-> 1              
helemaal        | 1               <-> 1              
slechts         | 1               <-> 1              
rest            | 1               <-> 1              
negen-en        | 1               <-> 1              
gehad           | 1               <-> 1              
één           | 8               <-> 8              
weg             | 1               <-> 1              
elf             | 1               <-> 1              
wel             | 3               <-> 3              
zouden          | 1               <-> 1              
Britse          | 2               <-> 2              
negentig        | 2               <-> 2              
houden          | 1               <-> 1              
scherpe         | 1               <-> 1              
of              | 6               <-> 6              
aangename       | 1               <-> 1              
extremis        | 1               <-> 1              
vallen          | 1               <-> 1              
sterke          | 1               <-> 1              
zichzelf        | 1               <-> 1              
zeer            | 1               <-> 1              
af              | 2               <-> 2              
komen           | 1               <-> 1              
dacht           | 1               <-> 1              
meerdere        | 1               <-> 1              
steeds          | 1               <-> 1              
Amerika         | 1               <-> 1              
volgens         | 1               <-> 1              
speelt          | 0               <-> 1              
geboren         | 0               <-> 1              
spelers         | 0               <-> 1              
onvervalste     | 0               <-> 1              
nietwaar        | 0               <-> 1              
eerste          | 5               <-> 7              
schatten        | 0               <-> 1              
doen            | 0               <-> 2              
Saint           | 0               <-> 1              
remixen         | 0               <-> 1              
golf            | 6               <-> 9              
captain         | 1               <-> 4              
als             | 8               <-> 12             
zuidelijk       | 0               <-> 1              
onderwerp       | 0               <-> 1              
ver             | 0               <-> 1              
beroerte        | 0               <-> 1              
beste           | 0               <-> 2              
Payne           | 1               <-> 3              
to              | 0               <-> 2              
begint          | 0               <-> 1              
niets           | 0               <-> 2              
overkomt        | 0               <-> 1              
Bob             | 0               <-> 1              
uren            | 0               <-> 1              
ging            | 0               <-> 1              
P               | 0               <-> 1              
terugkeer       | 0               <-> 1              
eindzege        | 0               <-> 1              
speciale        | 0               <-> 2              
worden          | 2               <-> 3              
grote           | 1               <-> 4              
nacht           | 0               <-> 1              
team            | 1               <-> 2              
volop           | 0               <-> 1              
omver           | 0               <-> 1              
pioniers        | 0               <-> 1              
haar            | 1               <-> 3              
veld            | 0               <-> 1              
streek          | 0               <-> 1              
alleszins       | 0               <-> 1              
kreeg           | 1               <-> 4              
buur            | 0               <-> 1              
vuist           | 0               <-> 1              
Shakespeare     | 0               <-> 1              
makkelijk       | 0               <-> 1              
Arizona         | 0               <-> 1              
verrassing      | 0               <-> 1              
voorbehouden    | 0               <-> 1              
net             | 1               <-> 2              
mee             | 0               <-> 1              
volgen          | 0               <-> 1              
weggegooid      | 0               <-> 1              
raken           | 0               <-> 1              
praktijk        | 0               <-> 1              
Cassius         | 0               <-> 1              
hoofd           | 0               <-> 1              
zaken           | 0               <-> 1              
praktijken      | 0               <-> 1              
met             | 12              <-> 18             
dezelfde        | 0               <-> 1              
schittert       | 0               <-> 1              
langs           | 0               <-> 1              
David           | 0               <-> 1              
antwoorden      | 0               <-> 1              
maken           | 1               <-> 2              
Schot           | 0               <-> 1              
kwik            | 0               <-> 3              
zuidoostelijke  | 0               <-> 1              
stortte         | 0               <-> 1              
Schotse         | 1               <-> 2              
Tiger           | 0               <-> 2              
geweest         | 0               <-> 1              
ploeg           | 0               <-> 1              
Engelse         | 0               <-> 1              
persoonlijk     | 0               <-> 1              
straks          | 0               <-> 1              
schreven        | 0               <-> 1              
wij             | 0               <-> 3              
schijnt         | 0               <-> 2              
Braun           | 0               <-> 1              
zijn            | 23              <-> 27             
mens            | 0               <-> 1              
collega's       | 0               <-> 1              
snel            | 0               <-> 1              
Indianapolis    | 0               <-> 1              
lichting        | 0               <-> 1              
tafel           | 0               <-> 1              
geval           | 1               <-> 2              
gehuld          | 0               <-> 1              
zin             | 0               <-> 1              
teen            | 0               <-> 1              
velen           | 0               <-> 1              
komt            | 0               <-> 3              
club            | 0               <-> 1              
laatste         | 1               <-> 4              
zeventiende     | 0               <-> 1              
voorbereiding   | 0               <-> 1              
hole            | 0               <-> 8              
echtgenote      | 0               <-> 1              
alternatief     | 0               <-> 1              
voorlaatste     | 0               <-> 1              
trots           | 0               <-> 1              
German          | 0               <-> 1              
onbeduidende    | 0               <-> 1              
iedereen        | 0               <-> 1              
meer            | 1               <-> 5              
algemeen        | 0               <-> 1              
waaronder       | 0               <-> 1              
begrijpt        | 0               <-> 1              
uiteindelijk    | 0               <-> 1              
neemt           | 0               <-> 2              
mogen           | 0               <-> 1              
blauwe          | 0               <-> 1              
days            | 0               <-> 4              
absolute        | 0               <-> 1              
meldt           | 0               <-> 1              
punt            | 0               <-> 2              
Jack            | 1               <-> 3              
waren           | 1               <-> 3              
Ross            | 0               <-> 1              
durven          | 0               <-> 1              
A               | 0               <-> 1              
rustige         | 0               <-> 2              
zowel           | 0               <-> 1              
lag             | 0               <-> 1              
blijken         | 0               <-> 1              
British         | 1               <-> 2              
conditie        | 0               <-> 1              
onwaarschijnlijke | 0               <-> 1              
enige           | 1               <-> 2              
zachter         | 0               <-> 1              
green           | 1               <-> 2              
las             | 0               <-> 1              
waaier          | 0               <-> 1              
heft            | 0               <-> 1              
eigen           | 1               <-> 3              
producer        | 0               <-> 1              
september       | 1               <-> 2              
Duval           | 0               <-> 1              
mengt           | 0               <-> 1              
tussenstand     | 0               <-> 1              
ronde           | 0               <-> 1              
alle            | 0               <-> 1              
vatte           | 0               <-> 1              
drijft          | 0               <-> 1              
baan            | 1               <-> 4              
François       | 0               <-> 1              
schuil          | 0               <-> 1              
courante        | 0               <-> 1              
haalt           | 0               <-> 1              
auto            | 0               <-> 1              
nog             | 5               <-> 6              
gooide          | 0               <-> 1              
dat             | 19              <-> 30             
not             | 0               <-> 1              
gegeven         | 0               <-> 1              
verkeerd        | 0               <-> 1              
legendarische   | 0               <-> 1              
wisselt         | 0               <-> 1              
beruchte        | 0               <-> 1              
waarvan         | 0               <-> 1              
komma           | 2               <-> 3              
overwinningen   | 0               <-> 1              
Gary            | 0               <-> 1              
waarover        | 0               <-> 2              
Planet          | 0               <-> 1              
olie            | 0               <-> 1              
Amerikaan       | 0               <-> 1              
en              | 38              <-> 39             
gaat            | 0               <-> 4              
ligt            | 0               <-> 2              
duizend         | 0               <-> 2              
voorlopig       | 0               <-> 1              
bevalt          | 0               <-> 1              
combinatie      | 0               <-> 1              
favoriete       | 0               <-> 1              
publiek         | 0               <-> 2              
geboorte        | 0               <-> 1              
house           | 0               <-> 2              
volmaakte       | 0               <-> 1              
Samuel          | 0               <-> 1              
bereiken        | 0               <-> 1              
waar            | 1               <-> 3              
misser          | 0               <-> 2              
één-en        | 1               <-> 2              
stuk            | 0               <-> 2              
vergeleken      | 0               <-> 1              
seizoen         | 0               <-> 1              
uitzondering    | 0               <-> 1              
à              | 0               <-> 1              
oude            | 0               <-> 1              
G               | 0               <-> 1              
vroeg           | 0               <-> 2              
Spaanse         | 0               <-> 1              
Miguel          | 0               <-> 1              
dunne           | 0               <-> 1              
voor            | 20              <-> 27             
voorbereid      | 0               <-> 1              
Sammy           | 0               <-> 1              
Gerald          | 0               <-> 1              
ding            | 0               <-> 1              
major           | 0               <-> 3              
drinken         | 0               <-> 1              
zag             | 0               <-> 1              
befaamde        | 0               <-> 2              
Royal           | 0               <-> 2              
veertien        | 0               <-> 1              
bezorgt         | 0               <-> 1              
daverende       | 0               <-> 1              
president       | 0               <-> 1              
mistbanken      | 0               <-> 1              
fine            | 0               <-> 1              
<UNK>           | 87              <-> 130            
raakte          | 0               <-> 2              
genoot          | 0               <-> 1              
felle           | 0               <-> 1              
Ryder           | 0               <-> 7              
twaalf          | 0               <-> 1              
poging          | 0               <-> 1              
fanatiek        | 0               <-> 1              
droog           | 0               <-> 1              
overmand        | 0               <-> 1              
ze              | 3               <-> 6              
vaker           | 0               <-> 1              
zelfs           | 1               <-> 3              
